BATCH,ANIMAL.ID,STRAIN,TREATMENT,ImbTime,MobileTime,TotalTime,PctImb
12,259,C3H/HeJ,OVX,105.405087,253.252495,358.657582,29.3887798
12,260,C3H/HeJ,OVX,86.185928,272.571754,358.757682,24.02343764
12,240,C57BL/6J,OVX,122.221853,236.435729,358.657582,34.07758797
14,292,129S1/SvlmJ,OVX,85.885625,272.972157,358.857782,23.93305351
14,294,129S1/SvlmJ,OVX,106.105787,252.651895,358.757682,29.57589268
14,283,A/J,OVX,131.831439,226.726045,358.557484,36.76716981
14,284,A/J,OVX,168.067558,190.890324,358.957882,46.82096882
14,288,C57BL/6J,OVX,137.737322,221.22056,358.957882,38.37144381
15,314,AKR/J,OVX,225.825146,133.132737,358.957883,62.91132099
15,304,BALB/cByJ,OVX,144.444007,214.313675,358.757682,40.26227569
15,305,BALB/cByJ,OVX,156.956489,202.001393,358.957882,43.72560038
15,319,BTBR T+tf/J,OVX,12.312273,346.645609,358.957882,3.430004916
15,320,BTBR T+tf/J,OVX,92.59232,266.465662,359.057982,25.78756765
15,310,C3H/HeJ,OVX,13.113075,345.744707,358.857782,3.65411471
15,323,C57BL/6J,OVX,120.019664,238.637918,358.657582,33.4635792
16,330,DBA/2J,OVX,51.851699,307.006083,358.857782,14.44909421
16,332,DBA/2J,OVX,6.606588,352.351294,358.957882,1.840491136
16,326,MRL/MpJ,OVX,150.149696,208.908286,359.057982,41.81767389
16,328,MRL/MpJ,OVX,104.604302,254.45368,359.057982,29.13298332
16,340,NZW/LacJ,OVX,105.104792,253.95319,359.057982,29.27237306
16,342,NZW/LacJ,OVX,23.223153,335.734729,358.957882,6.469603863
16,338,PL/J,OVX,42.642518,316.415464,359.057982,11.87622059
17,354,C57BL/6J,OVX,53.553394,305.404489,358.957883,14.91913022
17,349,CBA/J,OVX,31.831732,326.925951,358.757683,8.872766636
17,350,CBA/J,OVX,29.429344,329.528538,358.957882,8.198550715
17,344,SJL/J,OVX,145.945508,212.712074,358.657582,40.69215746
17,346,SJL/J,OVX,208.407779,150.149705,358.557484,58.12395175
